-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.019s       101.56%        1.019s     127.416ms           0 B           0 B           0 B           0 B             8  
                                          ProfilerStep*        10.89%     120.367ms        93.35%        1.032s     129.025ms       0.000us         0.00%     453.384ms      56.673ms      72.12 KB    -506.41 KB           0 B     -14.60 GB             8  
    autograd::engine::evaluate_function: AddmmBackward0         0.33%       3.656ms         2.89%      31.963ms      54.732us       0.000us         0.00%     377.830ms     646.969us           0 B           0 B      -2.52 GB     -12.73 GB           584  
                                         AddmmBackward0         0.24%       2.606ms         1.85%      20.455ms      35.026us       0.000us         0.00%     370.618ms     634.619us           0 B           0 B      10.20 GB           0 B           584  
                                               aten::mm         0.87%       9.660ms         1.25%      13.873ms      11.877us     370.618ms        36.93%     370.618ms     317.310us           0 B           0 B      10.20 GB      10.20 GB          1168  
                                           aten::linear         0.19%       2.090ms         1.25%      13.853ms      23.721us       0.000us         0.00%     268.522ms     459.798us           0 B           0 B       7.59 GB           0 B           584  
                                            aten::addmm         0.60%       6.616ms         0.74%       8.201ms      14.043us     268.522ms        26.75%     268.522ms     459.798us           0 B           0 B       7.59 GB       7.59 GB           584  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     268.302ms        26.73%     268.302ms     465.802us           0 B           0 B           0 B           0 B           576  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     178.069ms        17.74%     178.069ms     309.148us           0 B           0 B           0 B           0 B           576  
autograd::engine::evaluate_function: ScaledDotProduc...         0.08%     858.848us         0.87%       9.652ms     100.544us       0.000us         0.00%     140.959ms       1.468ms      -1.50 KB      -1.50 KB      -1.74 GB      -4.27 GB            96  
