-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        4.265s       100.35%        4.265s     533.182ms           0 B           0 B           0 B           0 B             8  
    autograd::engine::evaluate_function: AddmmBackward0         0.19%       8.560ms         1.71%      76.331ms     130.704us       0.000us         0.00%        1.789s       3.064ms           0 B           0 B      -2.52 GB     -12.73 GB           584  
                                         AddmmBackward0         0.13%       5.815ms         1.15%      51.291ms      87.827us       0.000us         0.00%        1.743s       2.985ms           0 B           0 B      10.20 GB           0 B           584  
                                               aten::mm         0.51%      22.597ms         0.77%      34.187ms      29.270us        1.743s        41.02%        1.743s       1.493ms           0 B           0 B      10.20 GB      10.20 GB          1168  
                                          ProfilerStep*         5.84%     260.293ms        96.11%        4.285s     535.619ms       0.000us         0.00%        1.544s     193.008ms      72.12 KB    -506.41 KB           0 B     -14.57 GB             8  
                                           aten::linear         0.10%       4.591ms         0.87%      38.641ms      66.166us       0.000us         0.00%     987.386ms       1.691ms           0 B           0 B       7.59 GB           0 B           584  
                                            aten::addmm         0.40%      17.961ms         0.57%      25.271ms      43.273us     987.386ms        23.23%     987.386ms       1.691ms           0 B           0 B       7.59 GB       7.59 GB           584  
                                  volta_sgemm_128x64_tn         0.00%       0.000us         0.00%       0.000us       0.000us     986.061ms        23.20%     986.061ms       1.712ms           0 B           0 B           0 B           0 B           576  
                                  volta_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     880.496ms        20.71%     880.496ms       1.508ms           0 B           0 B           0 B           0 B           584  
                                  volta_sgemm_128x64_nt         0.00%       0.000us         0.00%       0.000us       0.000us     861.182ms        20.26%     861.182ms       1.495ms           0 B           0 B           0 B           0 B           576  
