-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.015s       101.95%        1.015s     126.904ms           0 B           0 B           0 B           0 B             8  
    autograd::engine::evaluate_function: AddmmBackward0         0.74%       8.878ms         5.97%      71.815ms     122.971us       0.000us         0.00%     530.698ms     908.730us           0 B           0 B      -2.52 GB     -12.73 GB           584  
                                         AddmmBackward0         0.47%       5.691ms         3.87%      46.464ms      79.561us       0.000us         0.00%     517.785ms     886.619us           0 B           0 B      10.20 GB           0 B           584  
                                               aten::mm         1.78%      21.430ms         2.47%      29.636ms      25.373us     517.785ms        52.00%     517.785ms     443.309us           0 B           0 B      10.20 GB      10.20 GB          1168  
                                          ProfilerStep*        21.20%     254.860ms        86.03%        1.034s     129.268ms       0.000us         0.00%     372.544ms      46.568ms      72.12 KB    -506.41 KB           0 B     -14.57 GB             8  
                                           aten::linear         0.36%       4.377ms         2.85%      34.198ms      58.557us       0.000us         0.00%     274.105ms     469.357us           0 B           0 B       7.59 GB           0 B           584  
                                            aten::addmm         1.35%      16.215ms         1.75%      21.037ms      36.022us     274.105ms        27.53%     274.105ms     469.357us           0 B           0 B       7.59 GB       7.59 GB           584  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     192.604ms        19.34%     192.604ms     401.258us           0 B           0 B           0 B           0 B           480  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us     182.835ms        18.36%     182.835ms     380.905us           0 B           0 B           0 B           0 B           480  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     163.045ms        16.37%     163.045ms     849.191us           0 B           0 B           0 B           0 B           192  
