FIT Profiler Report
Profile stats for: [LightningModule]BERTSQuADModule.configure_callbacks rank: 1
         7 function calls in 0.000 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 contextlib.py:141(__exit__)
        1    0.000    0.000    0.000    0.000 {built-in method builtins.next}
        1    0.000    0.000    0.000    0.000 profiler.py:56(profile)
        1    0.000    0.000    0.000    0.000 advanced.py:81(stop)
        1    0.000    0.000    0.000    0.000 module.py:968(configure_callbacks)
        1    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}



Profile stats for: [LightningDataModule]SQuADDataModule.setup rank: 1
         2569022 function calls (2370401 primitive calls) in 10.404 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000   10.410   10.410 main.py:113(setup)
      3/2    0.000    0.000    4.983    2.491 arrow_dataset.py:546(wrapper)
        1    0.005    0.005    4.978    4.978 arrow_dataset.py:2931(map)
        1    0.000    0.000    2.937    2.937 load.py:1190(load_dataset)
        1    0.000    0.000    2.927    2.927 load.py:1041(load_dataset_builder)
        1    0.000    0.000    2.918    2.918 load.py:827(dataset_module_factory)
       13    0.046    0.004    2.906    0.224 arrow_dataset.py:3376(_map_single)
       14    0.000    0.000    2.885    0.206 sessions.py:500(request)
    17/14    0.000    0.000    2.840    0.203 sessions.py:673(send)
       17    0.000    0.000    2.802    0.165 _http.py:90(send)
       17    0.000    0.000    2.802    0.165 adapters.py:590(send)
       17    0.000    0.000    2.795    0.164 connectionpool.py:592(urlopen)
       17    0.000    0.000    2.791    0.164 connectionpool.py:377(_make_request)
       17    0.000    0.000    2.537    0.149 connection.py:534(getresponse)
       17    0.000    0.000    2.534    0.149 client.py:1334(getresponse)
       17    0.000    0.000    2.534    0.149 client.py:311(begin)
      369    0.000    0.000    2.529    0.007 {method 'readline' of '_io.BufferedReader' objects}
       19    0.000    0.000    2.528    0.133 socket.py:692(readinto)
       17    0.000    0.000    2.528    0.149 client.py:278(_read_status)
       19    0.000    0.000    2.528    0.133 ssl.py:1267(recv_into)
       19    0.000    0.000    2.528    0.133 ssl.py:1125(read)
       19    2.528    0.133    2.528    0.133 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.000    0.000    2.489    2.489 ddp.py:294(barrier)
        1    0.000    0.000    2.489    2.489 c10d_logger.py:78(wrapper)
        1    0.000    0.000    2.489    2.489 distributed_c10d.py:4823(barrier)
        1    2.489    2.489    2.489    2.489 {built-in method torch._C._distributed_c10d.barrier}
       31    0.008    0.000    2.063    0.067 fingerprint.py:186(hash)
       30    0.000    0.000    2.063    0.069 fingerprint.py:190(update)
        4    0.000    0.000    2.062    0.516 fingerprint.py:227(update_fingerprint)
       31    0.000    0.000    2.009    0.065 _dill.py:115(dumps)
       31    0.001    0.000    2.009    0.065 _dill.py:110(dump)
       31    0.000    0.000    2.007    0.065 _dill.py:426(dump)
       31    0.000    0.000    2.007    0.065 pickle.py:476(dump)
 27525/31    0.039    0.000    2.007    0.065 _dill.py:31(save)
 27525/31    0.028    0.000    2.007    0.065 _dill.py:375(save)
 27525/31    0.081    0.000    2.007    0.065 pickle.py:535(save)
   4150/3    0.017    0.000    2.006    0.669 pickle.py:621(save_reduce)
      9/1    0.000    0.000    2.005    2.005 _dill.py:1523(save_instancemethod0)
   5267/8    0.009    0.000    2.005    0.251 pickle.py:874(save_tuple)
   1872/8    0.008    0.000    1.999    0.250 _dill.py:1240(save_module_dict)
   4397/9    0.007    0.000    1.999    0.222 _dill.py:72(_batch_setitems)
   4397/9    0.015    0.000    1.999    0.222 pickle.py:978(_batch_setitems)
   1872/8    0.004    0.000    1.999    0.250 pickle.py:965(save_dict)
        1    0.000    0.000    1.971    1.971 load.py:568(get_module)
       11    0.102    0.009    1.717    0.156 arrow_dataset.py:3623(iter_outputs)
      202    0.001    0.000    1.656    0.008 _dill.py:166(_save_torchTensor)
       10    0.103    0.010    1.614    0.161 arrow_dataset.py:3567(apply_function)
    44/14    0.000    0.000    1.584    0.113 _validators.py:98(_inner_fn)
       10    0.311    0.031    1.509    0.151 main.py:58(preprocess_function)
        5    0.000    0.000    1.322    0.264 hf_api.py:5350(hf_hub_download)
        5    0.000    0.000    1.322    0.264 file_download.py:808(hf_hub_download)
        5    0.000    0.000    1.321    0.264 file_download.py:1027(_hf_hub_download_to_cache_dir)
        4    0.000    0.000    1.319    0.330 file_download.py:1488(_get_metadata_or_catch_error)
        4    0.000    0.000    1.318    0.329 file_download.py:1407(get_hf_file_metadata)
     18/4    0.000    0.000    1.317    0.329 file_download.py:261(_request_wrapper)
        9    0.000    0.000    1.317    0.146 _http.py:212(http_backoff)
        4    0.000    0.000    1.220    0.305 sessions.py:593(get)
88466/202    0.169    0.000    1.170    0.006 _tensor.py:1102(__format__)
      201    0.000    0.000    1.169    0.006 {function Tensor.__format__ at 0x14f4613d1080}
      201    0.001    0.000    1.169    0.006 _tensor.py:562(__repr__)
      201    0.003    0.000    1.168    0.006 _tensor_str.py:719(_str)
      199    0.000    0.000    1.158    0.006 parameter.py:84(__repr__)
      201    0.006    0.000    1.155    0.006 _tensor_str.py:416(_str_intern)
      201    0.002    0.000    1.146    0.006 _tensor_str.py:332(_tensor_str)
       10    0.001    0.000    1.093    0.109 arrow_writer.py:654(write_batch)
      100    1.029    0.010    1.076    0.011 arrow_writer.py:276(__arrow_array__)
       10    0.001    0.000    1.021    0.102 tokenization_utils_base.py:2855(__call__)
       10    0.001    0.000    1.020    0.102 tokenization_utils_base.py:2953(_call_one)
       10    0.004    0.000    1.019    0.102 tokenization_utils_base.py:3171(batch_encode_plus)
       10    0.009    0.001    1.015    0.101 tokenization_utils_fast.py:512(_batch_encode_plus)
        2    0.000    0.000    0.986    0.493 file_utils.py:134(cached_path)
      201    0.132    0.001    0.823    0.004 _tensor_str.py:131(__init__)
        1    0.000    0.000    0.781    0.781 data_files.py:692(from_patterns)
        2    0.000    0.000    0.781    0.391 data_files.py:585(from_patterns)
        4    0.000    0.000    0.781    0.195 data_files.py:295(resolve_pattern)
        4    0.000    0.000    0.779    0.195 hf_file_system.py:514(glob)
        4    0.000    0.000    0.779    0.195 spec.py:555(glob)
        4    0.000    0.000    0.777    0.194 hf_file_system.py:530(find)
        5    0.000    0.000    0.777    0.155 hf_file_system.py:380(_ls_tree)
        7    0.000    0.000    0.776    0.111 hf_api.py:3062(list_repo_tree)
        7    0.000    0.000    0.776    0.111 _pagination.py:27(paginate)
       10    0.006    0.001    0.720    0.072 tokenization_utils_fast.py:565(<listcomp>)
    10000    0.711    0.000    0.714    0.000 tokenization_utils_fast.py:307(_convert_encoding)
    25/22    0.000    0.000    0.662    0.030 sessions.py:159(resolve_redirects)
        4    0.000    0.000    0.639    0.160 sessions.py:724(<listcomp>)
   174721    0.150    0.000    0.575    0.000 {method 'format' of 'str' objects}
       50    0.000    0.000    0.532    0.011 arrow_writer.py:222(get_inferred_type)
        4    0.000    0.000    0.514    0.129 hf_file_system.py:665(info)
        1    0.000    0.000    0.514    0.514 hf_file_system.py:340(ls)
        1    0.000    0.000    0.349    0.349 load.py:549(__init__)
        1    0.000    0.000    0.349    0.349 load.py:189(increase_load_count)
        1    0.000    0.000    0.349    0.349 sessions.py:615(head)
  651/201    0.003    0.000    0.310    0.002 _tensor_str.py:295(_tensor_str_with_formatter)
      573    0.009    0.000    0.305    0.001 _tensor_str.py:242(_vector_str)
      113    0.022    0.000    0.275    0.002 _tensor_str.py:283(<listcomp>)
       10    0.270    0.027    0.270    0.027 {method 'encode_batch' of 'tokenizers.Tokenizer' objects}
       24    0.000    0.000    0.262    0.011 hf_file_system.py:140(resolve_path)
    88266    0.032    0.000    0.261    0.000 _tensor_str.py:253(_val_formatter)
       24    0.000    0.000    0.261    0.011 hf_file_system.py:121(_repo_and_revision_exist)
        1    0.000    0.000    0.261    0.261 hf_api.py:2805(repo_info)
        1    0.000    0.000    0.261    0.261 hf_api.py:2665(dataset_info)
       17    0.000    0.000    0.251    0.015 connectionpool.py:1085(_validate_conn)
        2    0.000    0.000    0.251    0.125 connection.py:718(connect)
  223/217    0.004    0.000    0.242    0.001 _dill.py:1957(save_function)
    88266    0.152    0.000    0.230    0.000 _tensor_str.py:214(format)
        1    0.000    0.000    0.185    0.185 _dataset_viewer.py:62(get_exported_dataset_infos)
      202    0.149    0.001    0.149    0.001 {method '__reduce_ex__' of 'numpy.ndarray' objects}
  534/210    0.003    0.000    0.145    0.001 detect.py:168(globalvars)
       30    0.000    0.000    0.141    0.005 formatting.py:282(__getitem__)
       30    0.000    0.000    0.141    0.005 formatting.py:384(format)
       30    0.000    0.000    0.140    0.005 formatting.py:463(format_column)
       30    0.121    0.004    0.140    0.005 formatting.py:146(extract_column)
  244/232    0.004    0.000    0.137    0.001 detect.py:139(nestedglobals)
  212/205    0.002    0.000    0.136    0.001 _dill.py:1108(_save_with_postproc)
        2    0.000    0.000    0.131    0.065 connection.py:895(_ssl_wrap_socket_and_match_hostname)
        2    0.000    0.000    0.130    0.065 ssl_.py:410(ssl_wrap_socket)
      244    0.001    0.000    0.127    0.001 dis.py:68(dis)
      400    0.001    0.000    0.126    0.000 _tensor.py:1161(__iter__)
  257/244    0.001    0.000    0.126    0.001 dis.py:529(_disassemble_recursive)
      257    0.002    0.000    0.125    0.000 dis.py:519(disassemble)
      400    0.125    0.000    0.125    0.000 {method 'unbind' of 'torch._C.TensorBase' objects}
    88467    0.122    0.000    0.122    0.000 {method 'detach' of 'torch._C.TensorBase' objects}
      257    0.010    0.000    0.121    0.000 dis.py:542(_disassemble_bytes)
        2    0.000    0.000    0.120    0.060 connection.py:192(_new_conn)
        2    0.000    0.000    0.120    0.060 connection.py:27(create_connection)
        2    0.000    0.000    0.118    0.059 ssl_.py:508(_ssl_wrap_socket_impl)
        2    0.000    0.000    0.118    0.059 ssl.py:511(wrap_socket)
        2    0.000    0.000    0.118    0.059 ssl.py:1018(_create)
        2    0.000    0.000    0.118    0.059 ssl.py:1339(do_handshake)
        2    0.118    0.059    0.118    0.059 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.116    0.058    0.116    0.058 {method 'connect' of '_socket.socket' objects}
    39979    0.111    0.000    0.111    0.000 {method 'write' of '_io.BytesIO' objects}
      226    0.001    0.000    0.108    0.000 pickle.py:789(save_bytes)
       75    0.000    0.000    0.106    0.001 pickle.py:247(write_large_bytes)
       52    0.009    0.000    0.070    0.001 request.py:2499(getproxies_environment)
     6559    0.029    0.000    0.067    0.000 dis.py:423(_get_instructions_bytes)
    98/76    0.001    0.000    0.060    0.001 _dill.py:1803(save_type)
    17160    0.011    0.000    0.060    0.000 <frozen _collections_abc>:859(__iter__)
       22    0.000    0.000    0.060    0.003 utils.py:816(get_environ_proxies)
    87241    0.057    0.000    0.057    0.000 {method '__format__' of 'float' objects}
    88265    0.050    0.000    0.050    0.000 {method 'item' of 'torch._C.TensorBase' objects}
       31    0.000    0.000    0.046    0.001 fingerprint.py:178(hash_bytes)
       91    0.046    0.001    0.046    0.001 {method 'update' of 'xxhash.xxh64' objects}
       30    0.000    0.000    0.042    0.001 utils.py:755(should_bypass_proxies)
   246/96    0.001    0.000    0.041    0.000 table.py:1793(wrapper)
       30    0.000    0.000    0.041    0.001 request.py:2530(proxy_bypass_environment)
