-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.266s       101.60%        1.266s     126.559ms           0 b           0 b           0 b           0 b            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.84%       9.972ms         7.24%      85.521ms     117.152us       0.000us         0.00%     661.081ms     905.591us           0 b           0 b      -3.16 Gb     -15.91 Gb           730  
                                         AddmmBackward0         0.61%       7.157ms         4.48%      52.990ms      72.589us       0.000us         0.00%     645.320ms     884.000us           0 b           0 b      12.75 Gb           0 b           730  
                                               aten::mm         2.05%      24.171ms         2.92%      34.486ms      23.621us     645.320ms        51.81%     645.320ms     442.000us           0 b           0 b      12.75 Gb      12.75 Gb          1460  
                                           aten::linear         0.48%       5.660ms         3.60%      42.483ms      58.195us       0.000us         0.00%     341.697ms     468.078us           0 b           0 b       9.49 Gb           0 b           730  
                                            aten::addmm         1.72%      20.270ms         2.25%      26.579ms      36.409us     341.697ms        27.43%     341.697ms     468.078us           0 b           0 b       9.49 Gb       9.49 Gb           730  
                                 ampere_sgemm_32x128_tn         0.00%       0.000us         0.00%       0.000us       0.000us     240.204ms        19.28%     240.204ms     400.340us           0 b           0 b           0 b           0 b           600  
                        ampere_sgemm_64x32_sliced1x4_nt         0.00%       0.000us         0.00%       0.000us       0.000us     227.892ms        18.29%     227.892ms     379.819us           0 b           0 b           0 b           0 b           600  
                                 ampere_sgemm_128x64_nn         0.00%       0.000us         0.00%       0.000us       0.000us     203.176ms        16.31%     203.176ms     846.565us           0 b           0 b           0 b           0 b           240  
                        ampere_sgemm_64x32_sliced1x4_nn         0.00%       0.000us         0.00%       0.000us       0.000us     114.130ms         9.16%     114.130ms     237.771us           0 b           0 b           0 b           0 b           480  
