-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                          ProfilerStep*         0.00%       0.000us         0.00%       0.000us       0.000us        1.272s       101.43%        1.272s     127.221ms           0 B           0 B           0 B           0 B            10  
                                          ProfilerStep*        10.76%     147.933ms        93.41%        1.284s     128.399ms       0.000us         0.00%     567.424ms      56.742ms      72.12 KB    -651.04 KB           0 B     -18.20 GB            10  
    autograd::engine::evaluate_function: AddmmBackward0         0.33%       4.494ms         2.87%      39.411ms      53.987us       0.000us         0.00%     473.303ms     648.360us           0 B           0 B      -3.16 GB     -15.91 GB           730  
                                         AddmmBackward0         0.24%       3.285ms         1.85%      25.471ms      34.892us       0.000us         0.00%     464.369ms     636.122us           0 B           0 B      12.75 GB           0 B           730  
                                               aten::mm         0.86%      11.866ms         1.25%      17.160ms      11.753us     464.369ms        37.02%     464.369ms     318.061us           0 B           0 B      12.75 GB      12.75 GB          1460  
                                           aten::linear         0.19%       2.612ms         1.28%      17.660ms      24.191us       0.000us         0.00%     335.266ms     459.269us           0 B           0 B       9.49 GB           0 B           730  
                                            aten::addmm         0.62%       8.542ms         0.78%      10.660ms      14.602us     335.266ms        26.73%     335.266ms     459.269us           0 B           0 B       9.49 GB       9.49 GB           730  
void magma_sgemmEx_kernel<float, float, float, true,...         0.00%       0.000us         0.00%       0.000us       0.000us     334.990ms        26.71%     334.990ms     465.264us           0 B           0 B           0 B           0 B           720  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x128_...         0.00%       0.000us         0.00%       0.000us       0.000us     223.292ms        17.80%     223.292ms     310.128us           0 B           0 B           0 B           0 B           720  
autograd::engine::evaluate_function: ScaledDotProduc...         0.08%       1.072ms         0.86%      11.866ms      98.882us       0.000us         0.00%     174.908ms       1.458ms      -1.88 KB      -1.88 KB      -2.17 GB      -5.33 GB           120  
